company,website,backup,location,roles,notes
Quantic,https://job-boards.greenhouse.io/walleyecapital-external-students,,"Boston, MA",,"{'role_type': 'QD', 'links': [{'url': 'https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679168006'}]}; {'role_type': 'QR', 'links': [{'url': 'https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679173006'}]}"
QuantLab,https://www.quantlab.com/careers,,Houston,,
Radix Trading,https://radixtrading.co/,,Chicago,Founded by ex-Citadel people. Radix calls SWEs Quantitative Technologists. Extremely secretive.,
Renaissance,https://www.rentec.com/Careers.action?jobs=true,,Setauket - East Setauket,"The legendary OG quant fund. They interview some normal people for SWE, but other roles tend to be extremely difficult.",
Schonfeld,https://www.schonfeld.com/careers/,,Miami,,
Seven Eight,https://www.seveneightcapital.com/join-us,,NYC,,
SIG,https://careers.sig.com/intern-openings,,Bala Cynwyd,"Has a huge poker culture. Fairly chill culture but pay tends to be on the lower side, especially for SWEs. Considered one of the best or the best firms for traders to start their career.","{'role_type': 'QT', 'links': [{'url': 'https://careers.sig.com/job/10717/Quantitative-Trader-Internship-Summer-2027'}]}"
Squarepoint,https://www.squarepoint-capital.com/early-careers,,NYC,,
TGS,https://www.tgsmc.com/join-our-team/,,Irvine,Perception ranges anywhere from JS to RenTech tier. Extremely secretive - not much else is known.,
Two Sigma,https://careers.twosigma.com/careers/OpenRoles,,,,
Squarepoint Capital,https://www.squarepoint-capital.com/open-opportunities,,,,
Qube Research & Technologies,https://www.qube-rt.com/careers/,,,,
Wealthsimple,https://jobs.ashbyhq.com/wealthsimple,,,,
Redis,https://redis.io/company/careers/current-job-openings/,,,,
Block,https://block.xyz/careers/jobs?employeeTypes[]=Intern,,,,
Robinhood,https://careers.robinhood.com/#page-block-mzzcf1eaais,,,,
Brex,,,,,
Plaid,https://plaid.com/careers/#search,,,,
Affirm,https://www.affirm.com/careers#jobOpenings,,,,
Coinbase,https://www.coinbase.com/en-ca/careers/positions?department=Internships%2520%2526%2520Emerging%2520Talent%2520Positions&country=CA&currency=CAD&mobile=false&japan_bespoke_content=false&logged_in=false,,,,
Ripple,https://ripple.com/careers/all-jobs/?type=Intern,,,,
Bloomberg,https://bloomberg.avature.net/careers/SearchJobs/?1686=%5B55479%5D&1686_format=2312&listFilterMode=1&jobRecordsPerPage=12&utm_source=website&utm_medium=mktg_site&utm_content=company_en_cta&_gl=1*1e49vs9*_gcl_au*NjYxOTY5OTM3LjE3ODI1OTg0MzY.*_ga*NTU3OTMzMjA5LjE3ODI1OTg0MzY.*_ga_F61D775DS4*czE3ODI1OTg0MzUkbzEkZzAkdDE3ODI1OTg0MzUkajYwJGwwJGgw#,,,,
FactSet,https://factset.wd108.myworkdayjobs.com/FactSetCareers,,,,
MSCI,https://careers.msci.com/job-search?production__mscicare2201__sort-rank%5BrefinementList%5D%5Bposition_type%5D%5B0%5D=Intern,,,,
Morningstar,https://careers.morningstar.com/us/en,,,,
S&P Global,https://careers.spglobal.com/jobs,,,,
LSEG,https://lseg.wd3.myworkdayjobs.com/Graduate_Careers,,,,
Nasdaq,https://nasdaq.wd1.myworkdayjobs.com/Global_External_Site?workerSubType=88704065592e01f416f7a3a7463956ae,,,,
OpenAI,https://openai.com/careers/search/,,,,
Anthropic,https://www.anthropic.com/careers/jobs,,,,
Cohere,https://jobs.ashbyhq.com/cohere?employmentType=Intern,,,,seems to have some ml/swe internships
Scale AI,,,,,"has a part time summer remote job, us only"
Databricks,https://www.databricks.com/company/careers/open-positions?department=University%20Recruiting&location=all,,,,
Snowflake,https://careers.snowflake.com/us/en/search-results?keywords=intern,,,,
Confluent,https://careers.confluent.io/jobs/early_talent?early_talent=engineering_non-engineering,,,,
MongoDB,https://www.mongodb.com/company/careers/students-and-graduates,,,,
Cockroach Labs,https://www.cockroachlabs.com/careers/open-positions/,,,,
Elastic ,,,,,
Grafana Labs,,,,,
AWS,https://amazon.jobs/content/en/teams/amazon-web-services/internships#jobs-search,,,,
Netflix,,,,,might be more graphics based
Cloudflare,https://www.cloudflare.com/en-ca/careers/jobs/?department=Early+Talent,,,,
Shopify,,,,,signed up to be notified
Waabi,https://jobs.lever.co/waabi?commitment=Intern,,,,"has toronto offices, research, looks really nice"
,,,,,
Huawei Canada,,,,,
AMD (Markham),https://careers.amd.com/students/jobs,,,,
Tesla (Autopilot teams in Canada),https://www.tesla.com/en_CA/careers/search/?type=intern,,,,
RBC Borealis ,https://jobs.rbc.com/ca/en/rbc-borealis,,,,
TD (AI/Data),,,,,
Scotiabank (Data Science),,,,,
Bank of America,https://careers.bankofamerica.com/en-us/students/job-search?ref=search&search=getAllJobs&start=0&rows=10&filters=division%3DEnterprise+Credit%2Cdivision%3DGlobal+Risk+Management%2CprogramType%3DApprenticeship%2CprogramType%3DOff-cycle+internship%2CprogramType%3DSummer+internship,,,,
